,clue,clue_pos,clue_pos1,basis_pos,basis_pos1,result_pos ,result_pos1
,ためには,"名詞,助詞,助詞","非自立,格助詞,係助詞",動詞,,,
,ためには、,"名詞,助詞,助詞,記号","非自立,格助詞,係助詞,読点",動詞,,,
,ために,"名詞,助詞","非自立,格助詞",動詞,,,
,ために、,"名詞,助詞,記号","非自立,格助詞,読点",動詞,,,
,のためには,"助詞,名詞,助詞,助詞","連体化,非自立,格助詞,係助詞",名詞,,,
,のためには、,"助詞,名詞,助詞,助詞,記号","連体化,非自立,格助詞,係助詞,読点",名詞,,,
,のために,"助詞,名詞,助詞","連体化,非自立,格助詞",名詞,,,
,のために、,"助詞,名詞,助詞,記号","連体化,非自立,格助詞,読点",名詞,,,
,が問われる。,,,名詞,,,
,が問われます。,,,名詞,,,
,が必要である。,,,名詞,,,
,が必要です。,,,名詞,,,
,が必要だ。,,,名詞,,,
,必要である。,,,助詞,,,
,必要です。,,,助詞,,,
,必要だ。,,,助詞,,,
,必要があります。,,,動詞,,,
,必要がある。,,,動詞,,,
,必要なのは,,,動詞,,,
,そのためである。,,,助詞,,,
,そのためだ。,,,助詞,,,
,そのためです。,,,助詞,,,
,なためだ。,,,名詞,,,
,なためです。,,,名詞,,,
,なためである。,,,名詞,,,
,重要である。,,,助詞,,,
,重要だ。,,,助詞,,,
,重要です。,,,助詞,,,
,大切である。,,,助詞,,,
,大切だ。,,,助詞,,,
,大切です。,,,助詞,,,
,が重要である。,,,名詞,,,
,が重要だ。,,,名詞,,,
,が重要です。,,,名詞,,,
,が大切である。,,,名詞,,,
,が大切だ。,,,名詞,,,
,が大切です。,,,名詞,,,
,すべきだ。,,,名詞,,,
,すべきである。,,,名詞,,,
,すべきです。,,,名詞,,,
,すべきだ,,,名詞,,,
,すべきである,,,名詞,,,
,すべきです,,,名詞,,,
,ばならない。,,,動詞,,,
,ばならない,,,動詞,,,
,ばならないです。,,,動詞,,,
,ばならないです,,,動詞,,,
,とよい。,,,動詞,,,
,とよいです。,,,動詞,,,
,とよい,,,動詞,,,
,とよいです,,,動詞,,,
,ならば、,,,動詞,,,
,ならば、,,,名詞,,,
,が必須となってき,,,名詞,,,
,が必須である。,,,名詞,,,
,が必須です。,,,名詞,,,
,が必須だ。,,,名詞,,,
,には,"助詞,助詞","格助詞,係助詞",動詞,,,
,には、,"助詞,助詞,記号","格助詞,係助詞,読点",動詞,,,
,そのために,,,,,,